Comune,Provincia
COMUNE DI ACQUASPARTA,Terni
COMUNE DI ALLERONA,Terni
COMUNE DI ALVIANO,Terni
COMUNE DI AMELIA,Terni
COMUNE DI ARRONE,Terni
COMUNE DI ASSISI,Perugia
COMUNE DI ATTIGLIANO,Terni
COMUNE DI AVIGLIANO UMBRO,Terni
COMUNE DI BASCHI,Terni
COMUNE DI BASTIA UMBRA,Perugia
COMUNE DI BETTONA,Perugia
COMUNE DI BEVAGNA,Perugia
COMUNE DI CALVI DELL'UMBRIA,Terni
COMUNE DI CAMPELLO SUL CLITUNNO,Perugia
COMUNE DI CANNARA,Perugia
COMUNE DI CASCIA,Perugia
COMUNE DI CASTEL GIORGIO,Terni
COMUNE DI CASTEL RITALDI,Perugia
COMUNE DI CASTEL VISCARDO,Terni
COMUNE DI CASTIGLIONE DEL LAGO,Perugia
COMUNE DI CERRETO DI SPOLETO,Perugia
COMUNE DI CITERNA,Perugia
COMUNE DI CITTA' DELLA PIEVE,Perugia
COMUNE DI CITTA' DI CASTELLO,Perugia
COMUNE DI COLLAZZONE,Perugia
COMUNE DI CORCIANO,Perugia
COMUNE DI COSTACCIARO,Perugia
COMUNE DI DERUTA,Perugia
COMUNE DI FABRO,Terni
COMUNE DI FERENTILLO,Terni
COMUNE DI FICULLE,Terni
COMUNE DI FOLIGNO,Perugia
COMUNE DI FOSSATO DI VICO,Perugia
COMUNE DI FRATTA TODINA,Perugia
COMUNE DI GIANO DELL'UMBRIA,Perugia
COMUNE DI GIOVE,Terni
COMUNE DI GUALDO CATTANEO,Perugia
COMUNE DI GUALDO TADINO,Perugia
COMUNE DI GUARDEA,Terni
COMUNE DI GUBBIO,Perugia
COMUNE DI LISCIANO NICCONE,Perugia
COMUNE DI LUGNANO IN TEVERINA,Terni
COMUNE DI MAGIONE,Perugia
COMUNE DI MARSCIANO,Perugia
COMUNE DI MASSA MARTANA,Perugia
COMUNE DI MONTE CASTELLO DI VIBIO,Perugia
COMUNE DI MONTE SANTA MARIA TIBERINA,Perugia
COMUNE DI MONTECASTRILLI,Terni
COMUNE DI MONTECCHIO,Terni
COMUNE DI MONTEFALCO,Perugia
COMUNE DI MONTEFRANCO,Terni
COMUNE DI MONTEGABBIONE,Terni
COMUNE DI MONTELEONE DI SPOLETO,Perugia
COMUNE DI MONTELEONE D'ORVIETO,Terni
COMUNE DI MONTONE,Perugia
COMUNE DI NARNI,Terni
COMUNE DI NOCERA UMBRA,Perugia
COMUNE DI NORCIA,Perugia
COMUNE DI ORVIETO,Terni
COMUNE DI OTRICOLI,Terni
COMUNE DI PACIANO,Perugia
COMUNE DI PANICALE,Perugia
COMUNE DI PARRANO,Terni
COMUNE DI PASSIGNANO SUL TRASIMENO,Perugia
COMUNE DI PENNA IN TEVERINA,Terni
COMUNE DI PERUGIA,Perugia
COMUNE DI PIEGARO,Perugia
COMUNE DI PIETRALUNGA,Perugia
COMUNE DI POGGIODOMO,Perugia
COMUNE DI POLINO,Terni
COMUNE DI PORANO,Terni
COMUNE DI PRECI,Perugia
COMUNE DI SAN GEMINI,Terni
COMUNE DI SAN GIUSTINO,Perugia
COMUNE DI SAN VENANZO,Terni
COMUNE DI SANT'ANATOLIA DI NARCO,Perugia
COMUNE DI SCHEGGIA E PASCELUPO,Perugia
COMUNE DI SCHEGGINO,Perugia
COMUNE DI SELLANO,Perugia
COMUNE DI SIGILLO,Perugia
COMUNE DI SPELLO,Perugia
COMUNE DI SPOLETO,Perugia
COMUNE DI STRONCONE,Terni
COMUNE DI TERNI,Terni
COMUNE DI TODI,Perugia
COMUNE DI TORGIANO,Perugia
COMUNE DI TREVI,Perugia
COMUNE DI TUORO SUL TRASIMENO,Perugia
COMUNE DI UMBERTIDE,Perugia
COMUNE DI VALFABBRICA,Perugia
COMUNE DI VALLO DI NERA,Perugia
COMUNE DI VALTOPINA,Perugia
AMMINISTRAZIONE PROVINCIALE DI PERUGIA,Perugia
AMMINISTRAZIONE PROVINCIALE DI TERNI,Terni
UNIONE DEI COMUNI DEL TRASIMENO,Perugia
UNIONE DEI COMUNI TERRE DELL'OLIO E DEL SAGRANTINO,Perugia